,,,,,,,,,,,,,,居酒屋,日本料理・郷土料理,すし・魚料理・シーフード,鍋,焼肉・ホルモン,焼き鳥・肉料理・串料理,和食,お好み焼き・粉物,ラーメン・麺料理,中華,イタリアン・フレンチ,洋食,欧米・各国料理,カレー,アジア・エスニック料理,オーガニック・創作料理,ダイニングバー・バー・ビアホール,お酒,カフェ・スイーツ,宴会・カラオケ・エンターテイメント,ファミレス・ファーストフード,その他の料理
10,gc06402,夜景個室×リゾートダイニング マタハリ 渋谷本店,35.657033,139.700358,〒150-0043 東京都渋谷区道玄坂2-25-10 ベニー清建ビル7F,http://mobile.gnavi.co.jp/shop/gc06402/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,{},http://uds.gnst.jp/rest/img/6rkska3p0000/t_00i6.png,月～日 11:30～15:00<BR>月～日 17:00～翌5:00<BR>金・土・祝前日 11:30～翌5:00(L.O.4:30),不定休日あり,"{'note': {}, 'line': 'ＪＲ', 'walk': '4', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",2480,1134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,e944802,全席完全個室 居酒屋 神楽屋 ,35.654925,139.702586,〒150-0043 東京都渋谷区道玄坂1-5-9 ザ･レンガビル5F,http://mobile.gnavi.co.jp/shop/e944802/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/61wpkk3h0000/t_004j.jpg,http://uds.gnst.jp/rest/img/61wpkk3h0000/t_004k.jpg,月～日・祝前日・祝日 12:00～翌5:00(都合により変更する場合もございます。ご了承ください。),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': {}}",3000,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,gd7a100,テーマパークダイニング Tinker Bell in Wonderland 渋谷駅前店,35.657778,139.701667,〒150-0042 東京都渋谷区宇田川町13‐8 ちとせ会館7F‐B,http://mobile.gnavi.co.jp/shop/gd7a100/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/8hbcutww0000/t_00pn.jpg,http://uds.gnst.jp/rest/img/8hbcutww0000/t_00l1.jpg, 17:00～翌4:30,年中無休,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",2800,1280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,g060403,個室和風ダイニング 月の夢,35.656758,139.702178,〒150-0042 東京都渋谷区宇田川町26-4 Ｌｕ’82ビル7F,http://mobile.gnavi.co.jp/shop/g060403/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/gh65f7180000/t_005f.jpg,http://uds.gnst.jp/rest/img/gh65f7180000/t_0045.jpg, ランチ：12:00～17:00(ランチタイムはご宴会のみ承ります。人数・ご予算などお気軽にご相談ください。)<BR>月～木・日・祝日 17:00～24:00(L.O.23:30)<BR>金・土・祝前日 17:00～翌5:00(L.O.4:30),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",2480,1134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,gej5600,完全個室 × 九州料理居酒屋 うみきん‐UMIKIN‐ 渋谷店,35.656719,139.702161,〒150-0042 東京都渋谷区宇田川町26-4 Lu82ビル4F,http://mobile.gnavi.co.jp/shop/gej5600/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/dmn9uyc70000/t_0004.jpg,{}, ランチ：12:00～15:00<BR>月～木・日・祝日 ディナー：16:00～24:00(L.O.23:30)<BR>金・土・祝前日 ディナー：16:00～翌5:00(L.O.4:30),年中無休,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",2500,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,gb3a121,上質完全個室居酒屋 四季の宴 渋谷ハチ公口店,35.656583,139.702478,〒150-0042 東京都渋谷区宇田川町23-5 ハイマンテン渋谷6F,http://mobile.gnavi.co.jp/shop/gb3a121/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/r0k9nza30000/t_001j.jpg,http://uds.gnst.jp/rest/img/r0k9nza30000/t_001k.jpg, ディナー：16:00～翌5:00(L.O.4:00)、ランチ：12:00～16:00(ご予約で昼宴会も承ります。詳しくはお電話にてお気軽にお問い合わせ下さい。),不定休日あり,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",2490,1134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,gab2500,名古屋コーチン×デザイナーズ個室 地鶏坊主 渋谷本店,35.6594,139.704311,〒150-0041 東京都渋谷区神南1-11-5 ダイネス壱番館B1,http://mobile.gnavi.co.jp/shop/gab2500/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/s6ytvbpw0000/t_0066.jpg,http://uds.gnst.jp/rest/img/s6ytvbpw0000/t_0028.jpg,"月～金・祝前日 18:00～翌1:00<BR>日・祝日 17:00～24:00<BR>土 17:00～翌1:00(※当店のご宴会コースは《飲放付》1,980円～5,980円までご用意!大変お得なコースとなっております!掘り炬燵個室少人数～５０名様可。単品の飲み放題 1,500円(2h)もご用意しております!!)",無,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': {}}",2491,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,ge55100,完全個室居酒屋 はるか‐HARUKA‐ 渋谷本店,35.657675,139.701186,〒150-0042 東京都渋谷区宇田川町30-5 渋谷JOWビル6F-B,http://mobile.gnavi.co.jp/shop/ge55100/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/5mpcwagw0000/t_0001.jpg,http://uds.gnst.jp/rest/img/5mpcwagw0000/t_000n.jpg, ランチ：12:00～17:00(ランチタイムは宴会・パーティーのみ受付ます。人数・ご予算などお気軽にご相談ください。)<BR>月～木・日 17:00～翌1:00(L.O.24:30)<BR>金・土・祝前日 17:00～翌5:00(L.O.4:30)(※17：00までのご来店は事前予約が必要となります。),無<BR>※年中無休,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",2492,1143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,p669304,完全個室 新和食 渋谷 するり ,35.654422,139.702067,〒150-0043 東京都渋谷区道玄坂1-11-3 フォースワンビルB1,http://mobile.gnavi.co.jp/shop/p669304/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/5smyt0u40000/t_0000.jpg,http://uds.gnst.jp/rest/img/5smyt0u40000/t_0001.jpg,月～金 ランチ：11:30～15:00(L.O.14:30)、ディナー：17:00～23:30(L.O.22:30、ドリンクL.O.23:00)<BR>土・日・祝日 ランチ：11:30～15:00(L.O.14:30)<BR>土・日・祝日 ディナー：15:00～23:30(L.O.22:30、ドリンクL.O.23:00),年中無休,"{'note': {}, 'line': 'ＪＲ', 'walk': '2', 'station': '渋谷駅', 'station_exit': {}}",2493,1829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,gct6512,渋谷個室居酒屋 鶏こっこ ,35.657111,139.701572,〒150-0042 東京都渋谷区宇田川町28-1 高山ランド第15ビル6F A,http://mobile.gnavi.co.jp/shop/gct6512/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/d89u1ax70000/t_006j.jpg,http://uds.gnst.jp/rest/img/d89u1ax70000/t_004g.jpg,月～木・日 12:00～翌1:00(渋谷個室居酒屋 とりこっこに是非ご来店下さい。  ※17：00以前のご来店は予約制になります。お電話でお問い合わせ下さい。)<BR>金・土・祝前日 12:00～翌5:00(※17：00以前のご来店は予約制になります。お電話でお問い合わせ下さい。  金土祝前日は、2時間制 週末料としてお会計に＋500円頂いております。),年中無休,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': {}}",1000,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,gdmy700,個室居酒屋　座楽 渋谷店,35.656503,139.704697,〒150-0002 東京都渋谷区渋谷1-25-6 渋谷パークサイド共同ビル3F,http://mobile.gnavi.co.jp/shop/gdmy700/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/3zkcfpds0000/t_002c.png,http://uds.gnst.jp/rest/img/3zkcfpds0000/t_0018.jpg,月～木 16:00～24:00<BR>金・土・祝前日 16:00～翌4:00<BR>日 16:00～23:30<BR>土・祝前日 ランチ：11:00～翌4:00(L.O.3:30、ドリンクL.O.3:30)<BR>日・祝日 ランチ：11:00～23:30(L.O.23:00、ドリンクL.O.23:00),年中無休,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': {}}",1700,905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,gdh3206,イタリアン個室 七色の雫 渋谷店,35.656492,139.704689,〒150-0002 東京都渋谷区渋谷1-25-6 渋谷パークサイド共同ビル2F,http://mobile.gnavi.co.jp/shop/gdh3206/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/2bbpj0th0000/t_0000.jpg,{},月～金 ランチ：14:00～17:00<BR>土・日・祝日 ランチ：14:00～15:00<BR>月～金・祝前日 ディナー：17:00～翌5:00(L.O.4:30)<BR>土・日・祝日 ディナー：15:00～翌5:00(L.O.4:30),年中無休,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': {}}",2000,1363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,e544006,九州居酒屋 永山本店 渋谷店,35.65805,139.705272,〒150-0002 東京都渋谷区渋谷1-24-1 トラスティB1,http://mobile.gnavi.co.jp/shop/e544006/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/pvmm52kb0000/t_00sd.jpg,http://uds.gnst.jp/rest/img/pvmm52kb0000/t_00va.jpg,月～金 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)、ランチ：11:30～15:00(L.O.14:45)(※ランチ営業は2016年3月10日～開始いたします。)<BR>土・日・祝 12:00～24:00(L.O.23:00、ドリンクL.O.23:30)(※ランチ営業は2016年3月10日～開始いたします。   ディナー営業は17:00～),無,"{'note': {}, 'line': '地下鉄副都心線', 'walk': '1', 'station': '渋谷駅', 'station_exit': '13番出口'}",1600,1372,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,a058407,全席個室 居酒屋 優結 ‐YUI‐ 渋谷駅前店,35.656425,139.704708,〒150-0002 東京都渋谷区渋谷1-25-6 渋谷パークサイド共同ビル8F,http://mobile.gnavi.co.jp/shop/a058407/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/6v3ps6n10000/t_00gd.jpg,{}, ランチ：12:00～15:00<BR>月～日 12:00～翌4:30,無,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': {}}",2000,1280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,ge3n800,YANEURA by Tiered ,35.656878,139.702331,〒150-0042 東京都渋谷区宇田川町26-11 白馬ビル6F,http://mobile.gnavi.co.jp/shop/ge3n800/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/rz2x7gag0000/t_0000.jpg,http://uds.gnst.jp/rest/img/rz2x7gag0000/t_0001.jpg, 12:00～翌5:00(L.O.4:30),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '2', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",2001,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,gdh3201,個室 国産焼肉食べ放題 悟空 渋谷センター街店,35.656856,139.702386,〒150-0042 東京都渋谷区宇田川町26-11 白馬ビル3F,http://mobile.gnavi.co.jp/shop/gdh3201/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/kyp0gv0d0000/t_000o.jpg,{}, ディナー：17:00～翌5:00,年中無休,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': {}}",2002,1143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,a058433,美味門 ‐うまいもん‐ 渋谷店,35.654925,139.702572,〒150-0043 東京都渋谷区道玄坂1-5-9 ザ・レンガビル3F,http://mobile.gnavi.co.jp/shop/a058433/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/avx3gfs90000/t_00wm.jpg,{},土・日・祝 15:00～23:30(L.O.23:00)、ランチ：12:00～16:00(L.O.14:30)<BR>月～木 16:30～23:30(L.O.23:00)<BR>金 16:30～翌4:00(L.O.3:30),年中無休<BR>年末年始（2016年1月1日）,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': {}}",2003,914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,gdan502,個室居酒屋×食べ放題 梵‐BONE‐ 渋谷店,35.657972,139.701128,〒150-0042 東京都渋谷区宇田川町31-9,http://mobile.gnavi.co.jp/shop/gdan502/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,{},http://uds.gnst.jp/rest/img/r7ugtt4u0000/t_003b.jpg, 11:30～翌5:00(L.O.4:30),年中無休,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': {}}",2004,1143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,gacc400,個室居酒屋 季作 渋谷店,35.656728,139.702161,〒150-0042 東京都渋谷区宇田川町26-4 Lu82ビル2F,http://mobile.gnavi.co.jp/shop/gacc400/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1h2d7w3a0000/t_007a.jpg,http://uds.gnst.jp/rest/img/1h2d7w3a0000/t_008d.jpg,月～木・日・祝日 12:00～24:00(L.O.23:30)(お昼のご宴会もお気軽にお問い合わせください)<BR>金・土・祝前日 12:00～翌5:00(お昼のご宴会もお気軽にお問い合わせください),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",2005,1363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,g382501,一蔵 渋谷店,35.65795,139.705275,〒150-0002 東京都渋谷区渋谷1-24-2 朱ビル3F,http://mobile.gnavi.co.jp/shop/g382501/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/8f96h6xm0000/t_004x.jpg,http://uds.gnst.jp/rest/img/8f96h6xm0000/t_004y.jpg,月～木 18:00～翌2:00<BR>金・土 17:00～翌5:00<BR>日 18:00～23:30,無,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': '東口'}",2006,1829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,gb3a122,完全個室 × 夜景ダイニング 咲蔵‐さくら‐ 渋谷店,35.656583,139.702478,〒150-0042 東京都渋谷区宇田川町23-5 ハイマンテン渋谷6F,http://mobile.gnavi.co.jp/shop/gb3a122/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/11rm0gsm0000/t_000e.jpg,http://uds.gnst.jp/rest/img/11rm0gsm0000/t_000f.jpg, ディナー：16:00～翌5:00、ランチ：12:00～16:00(ご予約で昼宴会も承ります。詳しくはお電話にてお気軽にお問い合わせ下さい。),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",2007,1363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,a799803,個室Dining パイレーツ海賊物語 in ラグーナ 渋谷駅前店,35.656886,139.702314,〒150-0042 東京都渋谷区宇田川町26-11 白馬ビル4F,http://mobile.gnavi.co.jp/shop/a799803/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1ewtwjnb0000/t_0000.jpg,http://uds.gnst.jp/rest/img/1ewtwjnb0000/t_0001.jpg,月～木・日・祝日 17:00～翌1:00<BR>金・土・祝前日 17:00～翌4:30,無,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': {}}",2008,1134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,gd5n134,全席個室 鮮や一夜 渋谷宮益坂口駅前店,35.656733,139.705136,〒150-0002 東京都渋谷区渋谷1-24-12 渋谷東映プラザ6F,http://mobile.gnavi.co.jp/shop/gd5n134/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/jvv648y10000/t_0000.jpg,{},月～日 17:00～23:30,無,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': {}}",2009,1555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,gdty223,KI・I・CHI ,35.657936,139.701736,〒150-0042 東京都渋谷区宇田川町13-8 ちとせ会館3F,http://mobile.gnavi.co.jp/shop/gdty223/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/9js3etkw0000/t_0000.jpg,{},月～日 16:00～翌5:00,年中無休,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': {}}",2010,1326,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
