,0,1,2,3,4,5,6,7,8,9,10
10,渋谷個室居酒屋 鶏こっこ ,35.657111,139.701572,http://mobile.gnavi.co.jp/shop/gct6512/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/d89u1ax70000/t_006j.jpg,月～木・日 12:00～翌1:00(渋谷個室居酒屋 とりこっこに是非ご来店下さい。  ※17：00以前のご来店は予約制になります。お電話でお問い合わせ下さい。)<BR>金・土・祝前日 12:00～翌5:00(※17：00以前のご来店は予約制になります。お電話でお問い合わせ下さい。  金土祝前日は、2時間制 週末料としてお会計に＋500円頂いております。),年中無休,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '3', 'note': {}, 'station': '渋谷駅'}",3000,1500,"['居酒屋', {'@attributes': {'order': '1'}}]"
11,全席個室 鮮や一夜 渋谷宮益坂口駅前店,35.656733,139.705136,http://mobile.gnavi.co.jp/shop/gd5n134/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/jvv648y10000/t_0000.jpg,月～日 17:00～23:30,無,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",3400,{},"['居酒屋', {'@attributes': {'order': '1'}}]"
12,上質完全個室居酒屋 四季の宴 渋谷ハチ公口店,35.656583,139.702478,http://mobile.gnavi.co.jp/shop/gb3a121/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/r0k9nza30000/t_001j.jpg, ディナー：16:00～翌5:00(L.O.4:00)、ランチ：12:00～16:00(ご予約で昼宴会も承ります。詳しくはお電話にてお気軽にお問い合わせ下さい。),不定休日あり,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2480,2480,"['居酒屋', {'@attributes': {'order': '1'}}]"
13,リゾート個室 ALOHA Dining 渋谷,35.658303,139.701208,http://mobile.gnavi.co.jp/shop/gdpf900/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1m6z2jy70000/t_0009.jpg, ランチ：12:00～17:00(ランチタイムは宴会・パーティーのみ受付ます。人数・ご予算などお気軽にご相談ください。)<BR>月～木・日 17:00～24:00(L.O.23:30)<BR>金・土・祝前日 17:00～翌5:00(L.O.4:30)(※17:00までのご来店は事前予約が必要となります。  ※お電話は10:00～24:00まで繋がります。),無,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '3', 'note': {}, 'station': '渋谷駅'}",2500,2980,"['居酒屋', {'@attributes': {'order': '1'}}]"
14,KI・I・CHI ,35.657936,139.701736,http://mobile.gnavi.co.jp/shop/gdty223/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/9js3etkw0000/t_0000.jpg,月～日 16:00～翌5:00,年中無休,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '3', 'note': {}, 'station': '渋谷駅'}",2900,{},"['イタリアン(イタリア料理)', {'@attributes': {'order': '1'}}]"
15,個室居酒屋 隠れ野 渋谷店,35.654408,139.702728,http://mobile.gnavi.co.jp/shop/g306506/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/2193ahd60000/t_010h.jpg,月～土・祝前日 17:00～翌4:00<BR>日 17:00～23:30,無,"{'line': 'ＪＲ', 'station_exit': '南口', 'walk': '2', 'note': {}, 'station': '渋谷駅'}",3000,{},"['居酒屋', {'@attributes': {'order': '1'}}]"
16,隠れ家個室居酒屋 茶流云‐SALOON‐ 渋谷,35.654925,139.702572,http://mobile.gnavi.co.jp/shop/getg101/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/6swmj4d40000/t_001l.jpg, 17:00～24:00,無,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2800,{},"['居酒屋', {'@attributes': {'order': '1'}}]"
17,テーマパークダイニング Tinker Bell in Wonderland 渋谷駅前店,35.657778,139.701667,http://mobile.gnavi.co.jp/shop/gd7a100/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/8hbcutww0000/t_00pn.jpg, 17:00～翌4:30,年中無休,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '3', 'note': {}, 'station': '渋谷駅'}",2800,{},"['居酒屋', {'@attributes': {'order': '1'}}]"
18,完全個室 × 九州料理居酒屋 うみきん‐UMIKIN‐ 渋谷店,35.656719,139.702161,http://mobile.gnavi.co.jp/shop/gej5600/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/dmn9uyc70000/t_0004.jpg, ランチ：12:00～15:00<BR>月～木・日・祝日 ディナー：16:00～24:00(L.O.23:30)<BR>金・土・祝前日 ディナー：16:00～翌5:00(L.O.4:30),年中無休,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '1', 'note': {}, 'station': '渋谷駅'}",3000,{},"['居酒屋', {'@attributes': {'order': '1'}}]"
19,美味門 ‐うまいもん‐ 渋谷店,35.654925,139.702572,http://mobile.gnavi.co.jp/shop/a058433/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/avx3gfs90000/t_00wm.jpg,土・日・祝 15:00～23:30(L.O.23:00)、ランチ：12:00～16:00(L.O.14:30)<BR>月～木 16:30～23:30(L.O.23:00)<BR>金 16:30～翌4:00(L.O.3:30),年中無休<BR>年末年始（2016年1月1日）,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2000,2000,"['居酒屋', {'@attributes': {'order': '1'}}]"
20,個室居酒屋　座楽 渋谷店,35.656503,139.704697,http://mobile.gnavi.co.jp/shop/gdmy700/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/3zkcfpds0000/t_002c.png,月～木 16:00～24:00<BR>金・土・祝前日 16:00～翌4:00<BR>日 16:00～23:30<BR>土・祝前日 ランチ：11:00～翌4:00(L.O.3:30、ドリンクL.O.3:30)<BR>日・祝日 ランチ：11:00～23:30(L.O.23:00、ドリンクL.O.23:00),年中無休,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",1979,2000,"['居酒屋', {'@attributes': {'order': '1'}}]"
21,イタリアン個室 七色の雫 渋谷店,35.656492,139.704689,http://mobile.gnavi.co.jp/shop/gdh3206/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/2bbpj0th0000/t_0000.jpg,月～金 ランチ：14:00～17:00<BR>土・日・祝日 ランチ：14:00～15:00<BR>月～金・祝前日 ディナー：17:00～翌5:00(L.O.4:30)<BR>土・日・祝日 ディナー：15:00～翌5:00(L.O.4:30),年中無休,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2980,2980,"['居酒屋', {'@attributes': {'order': '1'}}]"
22,夜景個室×リゾートダイニング マタハリ 渋谷本店,35.657033,139.700358,http://mobile.gnavi.co.jp/shop/gc06402/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,{},月～日 11:30～15:00<BR>月～日 17:00～翌5:00<BR>金・土・祝前日 11:30～翌5:00(L.O.4:30),不定休日あり,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '4', 'note': {}, 'station': '渋谷駅'}",2480,900,"['居酒屋', {'@attributes': {'order': '1'}}]"
23,完全個室 新和食 渋谷 するり ,35.654422,139.702067,http://mobile.gnavi.co.jp/shop/p669304/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/5smyt0u40000/t_0000.jpg,月～金 ランチ：11:30～15:00(L.O.14:30)、ディナー：17:00～23:30(L.O.22:30、ドリンクL.O.23:00)<BR>土・日・祝日 ランチ：11:30～15:00(L.O.14:30)<BR>土・日・祝日 ディナー：15:00～23:30(L.O.22:30、ドリンクL.O.23:00),年中無休,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '2', 'note': {}, 'station': '渋谷駅'}",4000,1000,"['居酒屋', {'@attributes': {'order': '1'}}]"
24,YANEURA by Tiered ,35.656878,139.702331,http://mobile.gnavi.co.jp/shop/ge3n800/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/rz2x7gag0000/t_0000.jpg, 12:00～翌5:00(L.O.4:30),無,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '2', 'note': {}, 'station': '渋谷駅'}",3000,800,"['パーティールーム・スペース', {'@attributes': {'order': '1'}}]"
25,さくらさくら 渋谷店,35.655081,139.703067,http://mobile.gnavi.co.jp/shop/e113143/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/fppnwbg70000/t_0051.jpg,月～日 17:00～24:00(L.O.23:30),無<BR>※（年末年始は、お問い合わせ下さい。）,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '2', 'note': {}, 'station': '渋谷駅'}",3000,3000,"['居酒屋', {'@attributes': {'order': '1'}}]"
26,個室Dining パイレーツ海賊物語 in ラグーナ 渋谷駅前店,35.656886,139.702314,http://mobile.gnavi.co.jp/shop/a799803/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1ewtwjnb0000/t_0000.jpg,月～木・日・祝日 17:00～翌1:00<BR>金・土・祝前日 17:00～翌4:30,無,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2480,{},"['居酒屋', {'@attributes': {'order': '1'}}]"
27,名古屋コーチン×デザイナーズ個室 地鶏坊主 渋谷本店,35.6594,139.704311,http://mobile.gnavi.co.jp/shop/gab2500/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/s6ytvbpw0000/t_0066.jpg,"月～金・祝前日 18:00～翌1:00<BR>日・祝日 17:00～24:00<BR>土 17:00～翌1:00(※当店のご宴会コースは《飲放付》1,980円～5,980円までご用意!大変お得なコースとなっております!掘り炬燵個室少人数～５０名様可。単品の飲み放題 1,500円(2h)もご用意しております!!)",無,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '3', 'note': {}, 'station': '渋谷駅'}",3000,{},"['居酒屋', {'@attributes': {'order': '1'}}]"
28,個室和風ダイニング 桂 渋谷,35.6566,139.705822,http://mobile.gnavi.co.jp/shop/gb3a101/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/3n93rghh0000/t_0084.jpg,月・火 14:00～23:30(L.O.22:30、ドリンクL.O.23:00)<BR>水～日 14:00～24:00(L.O.23:00、ドリンクL.O.23:30),無,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2980,2980,"['居酒屋', {'@attributes': {'order': '1'}}]"
29,全席完全個室×AQUA 竜宮の囲 渋谷駅前店,35.657778,139.701667,http://mobile.gnavi.co.jp/shop/gd7a000/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/ae2s6dyz0000/t_00sk.jpg, 17:00～翌4:30(L.O.3:30),年中無休,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '3', 'note': {}, 'station': '渋谷駅'}",2600,{},"['居酒屋', {'@attributes': {'order': '1'}}]"
30,個室和風ダイニング 月の夢,35.656758,139.702178,http://mobile.gnavi.co.jp/shop/g060403/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/gh65f7180000/t_005f.jpg, ランチ：12:00～17:00(ランチタイムはご宴会のみ承ります。人数・ご予算などお気軽にご相談ください。)<BR>月～木・日・祝日 17:00～24:00(L.O.23:30)<BR>金・土・祝前日 17:00～翌5:00(L.O.4:30),無,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2480,2480,"['居酒屋', {'@attributes': {'order': '1'}}]"
31,完全個室×和肉バル KANATA－かなた－ 渋谷センター街店,35.657969,139.701128,http://mobile.gnavi.co.jp/shop/gdpf901/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/mj4an72s0000/t_0001.jpg, ランチ：12:00～17:00(※ランチタイムは宴会・パーティーのみ受付ます。人数・ご予算などお気軽にご相談ください。)<BR>月～木・日 16:00～24:00(L.O.23:30)<BR>金・土・祝前日 16:00～翌5:00(L.O.4:30)(※16：00までのご来店は事前予約が必要となります。),年中無休,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '3', 'note': {}, 'station': '渋谷駅'}",2980,2980,"['焼肉', {'@attributes': {'order': '1'}}]"
32,個室居酒屋 月のえん～EN～ 渋谷駅前店,35.656361,139.704725,http://mobile.gnavi.co.jp/shop/gb3a108/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/pbbe9w850000/t_005o.jpg, ランチ：11:30～17:00<BR>月～木・日 17:00～24:00(ドリンクL.O.23:30)<BR>金・土・祝前日 16:00～翌5:00(ドリンクL.O.4:00),年中無休,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2980,2480,"['居酒屋', {'@attributes': {'order': '1'}}]"
33,完全個室居酒屋 魚龍 渋谷店,35.656722,139.702122,http://mobile.gnavi.co.jp/shop/gacc401/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/fbb0ycsh0000/t_00bj.jpg, ランチ：12:00～17:00(ランチタイムはご宴会のみ承ります。人数・ご予算などお気軽にご相談ください。)<BR>月～木・日・祝日 17:00～24:00(L.O.23:30)<BR>金・土・祝前日 17:00～翌4:30(L.O.4:00),無,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '1', 'note': {}, 'station': '渋谷駅'}",3000,3000,"['居酒屋', {'@attributes': {'order': '1'}}]"
34,全席個室 居酒屋 優結 ‐YUI‐ 渋谷駅前店,35.656425,139.704708,http://mobile.gnavi.co.jp/shop/a058407/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/6v3ps6n10000/t_00gd.jpg, ランチ：12:00～15:00<BR>月～日 12:00～翌4:30,無,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2800,2500,"['居酒屋', {'@attributes': {'order': '1'}}]"
35,完全個室居酒屋 はるか‐HARUKA‐ 渋谷本店,35.657675,139.701186,http://mobile.gnavi.co.jp/shop/ge55100/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/5mpcwagw0000/t_0001.jpg, ランチ：12:00～17:00(ランチタイムは宴会・パーティーのみ受付ます。人数・ご予算などお気軽にご相談ください。)<BR>月～木・日 17:00～翌1:00(L.O.24:30)<BR>金・土・祝前日 17:00～翌5:00(L.O.4:30)(※17：00までのご来店は事前予約が必要となります。),無<BR>※年中無休,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '3', 'note': {}, 'station': '渋谷駅'}",2500,2980,"['居酒屋', {'@attributes': {'order': '1'}}]"
36,一蔵 渋谷店,35.65795,139.705275,http://mobile.gnavi.co.jp/shop/g382501/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/8f96h6xm0000/t_004x.jpg,月～木 18:00～翌2:00<BR>金・土 17:00～翌5:00<BR>日 18:00～23:30,無,"{'line': 'ＪＲ', 'station_exit': '東口', 'walk': '3', 'note': {}, 'station': '渋谷駅'}",4000,{},"['居酒屋', {'@attributes': {'order': '1'}}]"
37,完全個室 × 夜景ダイニング 咲蔵‐さくら‐ 渋谷店,35.656583,139.702478,http://mobile.gnavi.co.jp/shop/gb3a122/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/11rm0gsm0000/t_000e.jpg, ディナー：16:00～翌5:00、ランチ：12:00～16:00(ご予約で昼宴会も承ります。詳しくはお電話にてお気軽にお問い合わせ下さい。),無,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2980,2980,"['居酒屋', {'@attributes': {'order': '1'}}]"
38,チーズ × 肉バル banquet ‐バンケット‐ 渋谷店,35.656761,139.701181,http://mobile.gnavi.co.jp/shop/a058414/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/7b6bmyjb0000/t_00ne.jpg,月～日 12:00～翌5:00,無,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",3000,1000,"['居酒屋', {'@attributes': {'order': '1'}}]"
39,個室 国産焼肉食べ放題 悟空 渋谷センター街店,35.656856,139.702386,http://mobile.gnavi.co.jp/shop/gdh3201/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/kyp0gv0d0000/t_000o.jpg, ディナー：17:00～翌5:00,年中無休,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '3', 'note': {}, 'station': '渋谷駅'}",2500,500,"['焼肉', {'@attributes': {'order': '1'}}]"
40,和風×個室居酒屋 月の響 渋谷本店,35.656492,139.704689,http://mobile.gnavi.co.jp/shop/gdh3207/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/14njsvs40000/t_000p.jpg,月～金 ランチ：14:00～17:00<BR>土・日・祝日 ランチ：14:00～15:00<BR>月～金・祝前日 ディナー：17:00～翌5:00(L.O.4:30)<BR>土・日・祝日 ディナー：15:00～翌5:00(L.O.4:30),年中無休,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2480,2980,"['焼肉', {'@attributes': {'order': '1'}}]"
41,MIZUcafe PRODUCED BY Cleansui 原宿表参道ビル,35.665033,139.707194,http://mobile.gnavi.co.jp/shop/ge9n700/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/k3u486jy0000/t_003c.jpg, ランチ・ディナー：11:00～22:00(L.O.21:00、ドリンクL.O.21:30)(食材の仕入れ状況により閉店を早める場合もございます。),無,"{'line': 'ＪＲ', 'station_exit': '表参道口', 'walk': '3', 'note': {}, 'station': '原宿駅'}",2500,900,"['パーティールーム・スペース', 'ビール']"
42,個室居酒屋 渋谷 ひもの屋 宇田川町店,35.658303,139.701222,http://mobile.gnavi.co.jp/shop/e853400/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/dr0dnj900000/t_00iq.jpg,月～金 11:00～翌5:00<BR>土・日・祝 16:00～翌5:00,年中無休,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '4', 'note': {}, 'station': '渋谷駅'}",3000,850,"['居酒屋', 'シーフード料理']"
43,T2 SHIBUYA ,35.657822,139.701678,http://mobile.gnavi.co.jp/shop/gdk9500/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/74bnk6960000/t_0023.jpg, 11:30～翌5:00(ご予約受付対応は14時からとなります。),年中無休<BR>※パーティー専用ダイヤル TEL：050-5789-3656,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '5', 'note': {}, 'station': '渋谷駅'}",4000,1000,"['パーティールーム・スペース', 'バンケットルーム']"
44,貸切パーティースペース 渋谷JET 渋谷三丁目店,35.654336,139.707844,http://mobile.gnavi.co.jp/shop/gccb200/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/734am0bz0000/t_003k.jpg,月～土 18:00～翌5:00,毎週日曜日<BR>※(貸切予約の場合は営業),"{'line': 'ＪＲ', 'station_exit': '新南口・東口', 'walk': '3', 'note': {}, 'station': '渋谷駅'}",1980,{},"['カラオケボックス', 'パーティールーム・スペース']"
